Article.ID,User.ID,User.Name,KE..Up.,Novel.KE.Up.,KE.up..biomarker,Novel.other.biomarker.KE.up.,KE.Down.,Novel.KE.Down.,KE.down..biomarker,Novel.other.biomarker.KE.down.,Stressor.BA.BP.,chemical,Species.BA.BP.,Test.system.BA.BP.,Dose.concordance..EP.,Time.concordance..EP.,Correlation.KEs..BP.ES.,Evidence.level..EP.ES.BP.BA.,assay.method..EP.ES.BA.,DOI,Notes
14968796,6181,anouk.verhoeven,novel_angptl4_ceramide_pkc_signaling_axis,angptl4  ceramide pkc signaling axis,not defined,NA,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,pharmaceutical,dexamethasone,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;knockout study,10.1074/jbc.ra118.006259,NA
14968126,6181,anouk.verhoeven,novel_ap_1_pathway,ap-1 pathway,not defined,NA,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,food supplement,uric_acid,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,10.1152/ajpendo.00518.2020,NA
14967969,7549,marth.stinckens,novel_apoptosis,apoptosis,novel,"caspasa-3, xiap",steatosis,NA,not defined,NA,pharmaceutical,tetracycline,mouse,in vivo,yes,no,positive correlation,functional;translational;transcriptional,translational study;transcriptional study,10.1139/cjpp-2015-0074,NA
14968062,7075,graciela.lopezsoop,novel_lipophagy,lipophagy,novel,"lc3, beclin1",liver_triglyceride_accumulation,NA,triglyceride;ast;other,lipid droplets,pharmaceutical,acetaminophen,mouse,in vivo,no,nomeasure,negative correlation,translational;functional,translational study,https://doi.org/10.1016/j.ejphar.2019.02.005,
14968062,7075,graciela.lopezsoop,novel_lipophagy,lipophagy,novel,"lc3, beclin1",liver_triglyceride_accumulation,NA,triglyceride,lipid droplets,pharmaceutical,acetaminophen,human,in vitro ,no,nomeasure,negative correlation,functional,translational study,https://doi.org/10.1016/j.ejphar.2019.02.005,
14968062,7075,graciela.lopezsoop,liver_triglyceride_accumulation,NA,triglyceride,lipid droplets,steatosis,NA,triglyceride,lipid droplets,pharmaceutical,acetaminophen,human,in vitro ,no,nomeasure,positive correlation,functional,other,https://doi.org/10.1016/j.ejphar.2019.02.005,
14968062,7075,graciela.lopezsoop,liver_triglyceride_accumulation,NA,triglyceride;ast;other,lipid droplets,fatty_liver,NA,triglyceride;ast;other,"alt, lipid droplets",pharmaceutical,acetaminophen,mouse,in vivo,no,nomeasure,positive correlation,functional,other ,https://doi.org/10.1016/j.ejphar.2019.02.005,
14968062,7075,graciela.lopezsoop,fatty_liver,NA,triglyceride;ast;other,"alt, lipid droplets",steatosis,NA,triglyceride;ast;other,"alt, lipid droplets",pharmaceutical,acetaminophen,mouse,in vivo,no,nomeasure,positive correlation,functional,other ,https://doi.org/10.1016/j.ejphar.2019.02.005,
14968311,7075,graciela.lopezsoop,novel_lipophagy,lipophagy,other,"p62, lc3, autophagosomes",liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,acetaminophen,mouse,in vivo,no,nomeasure,negative correlation,functional,other,https://doi.org/10.1016/j.ejphar.2021.174324,
14968629,6181,anouk.verhoeven,novel_camp,camp,novel,pde4,mitochondrial_beta_oxidation,NA,ppara;cpt1,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;knockout study;inhibitor/inducer study,:10.1002/path.4760,alcohol will increase pde4 leading to decrease camp resulting to decreased fao through ppara regulation and cpt1 decrease
14968629,6181,anouk.verhoeven,novel_camp,camp,novel,pde4,mitochondrial_beta_oxidation,NA,ppara;cpt1,NA,alcohol,ethanol,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;inhibitor/inducer study,:10.1002/path.4760,alcohol will increase pde4 leading to decrease camp resulting to decreased fao through ppara regulation and cpt1 decrease
14968924,7075,graciela.lopezsoop,novel_ceramide_synthesis,ceramide synthesis,other,"sptlc3, cers4, degs2, smpd4",fatty_liver,NA,other,ceramide,food supplement,homocysteine,mouse,ex vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.1038/aps.2017.127,
14968498,7736,joost.boeckmans,novel_changes_in_gut_microbiome,changes in gut microbiome,not defined,NA,liver_triglyceride_accumulation,NA,not defined,NA,food supplement,fructose,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,http://dx.doi.org/10.1016/j.clnu.2015.01.021,lower bifidobacterium and lactobacillus in the gut
14968400,6181,anouk.verhoeven,novel_cholesterol_accumulation,cholesterol accumulation,cholesterol,NA,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,pollutant,bisphenol_a_(bpa),mouse,in vivo,no,nomeasure,positive correlation,functional;transcriptional;translational,transcriptional study;translational study,10.1016/j.fct.2019.110786.,accumulation of cholesterol could be a trigger for liver lipogenesis
14968400,6181,anouk.verhoeven,novel_cholesterol_synthesis,cholesterol synthesis,novel,srebp2 and hmgcr,novel_cholesterol_accumulation,cholesterol accumulation,cholesterol,NA,pollutant,bisphenol_a_(bpa),mouse,in vivo,no,nomeasure,positive correlation,functional;transcriptional;translational,transcriptional study;translational study,10.1016/j.fct.2019.110786.,exposure for 16 days to 50 or 500 µg/kg. they saw no effect on the hightest 5000 µg/kg dose
14968767,6181,anouk.verhoeven,novel_cholesterol_synthesis,cholesterol synthesis,novel,sqle,novel_cholesterol_accumulation,cholesterol accumulation,cholesterol,NA,pharmaceutical,efavirenz,mouse,in vivo,yes,nomeasure,positive correlation,functional,knockout study,10.1016/j.jhep.2018.12.038,NA
14968754,6181,anouk.verhoeven,transcription_factor_related_changes_nrf2,NA,novel,cyp2a5,liver_triglyceride_accumulation,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,negative correlation,functional,knockout study,10.1016/j.tox.2017.01.016,cyp2a5 shows protective effects against nafld
14969541,7549,marth.stinckens,novel_cyp450,cyp 450 changes,novel,cyp2e1,novel,oxidative stress,novel,4-hne,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,10.1016/j.redox.2017.09.018,"how more 4-hne-akt adduct, how less phosphorylation"
14968281,6181,anouk.verhoeven,novel_cyp450,cyp 450 changes,novel,cyp2e1,novel_oxidative_stress,oxidative stress,novel,"ros, mda, 4-hne4 and gsh",pharmaceutical,valproic_acid_(vpa),mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study;inhibitor/inducer study,10.1016/j.tox.2020.152585.,oxidative stress can be measured through lipid peroxidation products (4-hne and mda) which were both sig increased by vpa and through cellular redox status (gsh) which was sig reduced
14968281,6181,anouk.verhoeven,novel_cyp450,cyp 450 changes,novel,cyp2e1,novel_oxidative_stress,oxidative stress,novel,"ros, mda, 4-hne4 and gsh",pharmaceutical,valproic_acid_(vpa),human,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study;inhibitor/inducer study,10.1016/j.tox.2020.152585.,oxidative stress can be measured through lipid peroxidation products (4-hne and mda) which were both sig increased by vpa and through cellular redox status (gsh) which was sig reduced
14969210,7736,joost.boeckmans,novel_cyp450,cyp450 changes,novel,cyp1a1,liver_triglyceride_accumulation,NA,not defined,NA,pollutant,benzo(a)pyrene,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;inhibitor/inducer study,https://doi.org/10.3390/antiox10081314,
14968794,5956,birgitte.lindeman,novel_deptor,deptor,other,immunostaining,novel,NA,srebf1(srebp1-1c),NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,inhibitor/inducer study,doi:10.1002/hep.29849,bin-binge mouse model of early stage ald
14968794,5956,birgitte.lindeman,novel_deptor,deptor,other,immunostaining,protein_kinase_changes_novel_mtorc1,NA,novel_mtorc1,"p-s6, p-4e-bp1; mtorc1",alcohol,ethanol,mouse,in vitro,yes,nomeasure,negative correlation,functional,other,doi:10.1002/hep.29849,bin-binge mouse model of early stage ald
14968251,7544,alexandra.gatzios,novel_dipeptidyl_peptidase_4_(dpp_4),dipeptidyl peptidase-4 (dpp-4) ,not defined,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,ethinylestradiol_and_levonorgestrel,rat,in vivo,nomeasure,nomeasure,positive correlation,functional,other,10.1016/j.biopha.2018.12.036,combined anticonception
14969509,5829,anna.s.rapisarda,novel_exogenous_lipid_clearance_rate,exogenous lipid clearance rate,cd36,NA,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,negative correlation,transcriptional,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14969509,5829,anna.s.rapisarda,novel_exogenous_lipid_clearance_rate,exogenous lipid clearance rate,other,fatp5,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,negative correlation,transcriptional,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14969509,5829,anna.s.rapisarda,novel_exogenous_lipid_clearance_rate,exogenous lipid clearance rate,other,fabppm,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,negative correlation,transcriptional,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14968319,6181,anouk.verhoeven,novel_fibrosis,fibrosis,novel,tgf-b1,novel_apoptosis,apoptosis,novel,caspase 8,pollutant,bisphenol_a_(bpa),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,,fibrosis will lead further to apoptosis of cells and oxidative stress
14968297,6181,anouk.verhoeven,novel_galactose_metabolism,galactose metabolism,not defined,NA,steatosis,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study;inhibitor/inducer study,https://doi.org/10.1016/j.cbi.2018.04.002,triglicerides in the liver
14968220,6181,anouk.verhoeven,novel_gluconeogenesis,gluconeogensis,novel,g6pase,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,fluoxetine,human,in vitro,nomeasure,nomeasure,negative correlation,transcriptional;functional,transcriptional study,10.1002/jat.4109,catalyzes the hydrolysis of glucose-6-phosphate to glucose. the loss of g6pase function resulted in the accumulation of glucose-6-phosphate
14968220,6181,anouk.verhoeven,novel_gluconeogenesis,gluconeogensis,novel,g6pase,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,fluoxetine,mouse,in vitro,yes,nomeasure,negative correlation,transcriptional;translational;functional,transcriptional study;translational study,10.1002/jat.4109,NA
14968300,6181,anouk.verhoeven,novel_glucose_metabolism,glucose metabolism,novel,xanthine oxidase,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,nicotine,rat,in vivo,nomeasure,nomeasure,negative correlation,functional,inhibitor/inducer study,https://doi.org/10.1016/j.cbi.2019.108929,"not focusing on steaotis, no clear links"
14968565,6181,anouk.verhoeven,novel_inflammation,inflammation,novel,"tnf-1a, il-6, il-8, il-1b",de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc;pparg,NA,biocide,glyphosate,fish,in vivo,yes,yes,positive correlation,transcriptional,transcriptional study,10.1016/j.envpol.2020.116186,NA
14968565,6181,anouk.verhoeven,novel_inflammation,inflammation,novel,"tnf-1a, il-6, il-8, il-1b",liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,glyphosate,fish,in vivo,yes,yes,positive correlation,transcriptional,transcriptional study,10.1016/j.envpol.2020.116186,inflammation leads to lipid accumulation
14968565,6181,anouk.verhoeven,novel_inflammation,inflammation,novel,"tnf-1a, il-6, il-8, il-1b",mitochondrial_beta_oxidation,NA,ppara;cpt1,NA,biocide,glyphosate,fish,in vivo,yes,yes,negative correlation,transcriptional,transcriptional study,10.1016/j.envpol.2020.116186,NA
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,"nf-kb, tnf-a",novel_apoptosis,apoptosis,novel,"bcl-2, cyt-c (cytochondria)",alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,negative correlation,transcriptional;translational,transcriptional study;inhibitor/inducer study;translational study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,"nf-kb, tnf-a",novel_apoptosis,apoptosis,novel,"bcl-2, cyt-c (cytochondria)",alcohol,ethanol,rat,in vivo,nomeasure,nomeasure,negative correlation,transcriptional;translational,transcriptional study;inhibitor/inducer study;translational study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,il-10,novel_apoptosis,apoptosis,novel,"bax, cyt-c (cytoplasm)",alcohol,ethanol,rat,in vivo,nomeasure,nomeasure,negative correlation,transcriptional;translational,transcriptional study;inhibitor/inducer study;translational study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,il-10,novel_apoptosis,apoptosis,novel,"bax, cyt-c (cytoplasm)",alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,negative correlation,transcriptional;translational,transcriptional study;inhibitor/inducer study;translational study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,"nf-kb, tnf-a",novel_apoptosis,apoptosis,novel,"bax, cyt-c (cytoplasm)",alcohol,ethanol,rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;inhibitor/inducer study;translational study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,"nf-kb, tnf-a",novel_apoptosis,apoptosis,novel,"bax, cyt-c (cytoplasm)",alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;inhibitor/inducer study;translational study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,il-10,novel_apoptosis,apoptosis,novel,"bcl-2, cyt-c (cytochondria)",alcohol,ethanol,rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;inhibitor/inducer study;translational study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,il-10,novel_apoptosis,apoptosis,novel,"bcl-2, cyt-c (cytochondria)",alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;inhibitor/inducer study;translational study,10.1002/kjm2.12390,
14969129,6181,anouk.verhoeven,novel_inflammation,inflammation,novel,"lps, tnf-a, il-1b, nf-kb inducing kinase (nik)",nuclear_receptor_changes_ppara,NA,ppara,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study;inhibitor/inducer study;knockout study,10.7150/thno.40149,nik is the regulator in alfd but not in nalfd
14968654,7075,graciela.lopezsoop,novel_inflammation,inflammation,other,neutrophils,novel_oxidative_stress,oxidative stress,other,mda,pollutant,vinyl_chloride,mouse,in vitro,nomeasure,nomeasure,positive correlation,functional,translational study,https://doi.org/10.1016/j.redox.2019.101205,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,il-10,steatosis,NA,ast,NA,alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,negative correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,il-10,steatosis,NA,novel,alt,alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,negative correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,il-10,steatosis,NA,novel,alt,alcohol,ethanol,rat,in vivo,nomeasure,nomeasure,negative correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,"nf-kb, tnf-a",steatosis,NA,ast,NA,alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,positive correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1002/kjm2.12390,
14968447,6128,jian.jiang,novel_inflammation,inflammation,novel,"nf-kb, tnf-a",steatosis,NA,novel,alt,alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,positive correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1002/kjm2.12390,
14968525,6128,jian.jiang,novel_inflammation,inflammation,novel,"tgfb1, il-10",steatosis,NA,triglyceride,NA,pharmaceutical,mildronate,fish,in vivo,nomeasure,nomeasure,negative correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1016/j.fsi.2017.07.058,
14968525,6128,jian.jiang,novel_inflammation,inflammation,novel,"tnf-a, il-8",steatosis,NA,triglyceride,NA,pharmaceutical,mildronate,fish,in vivo,nomeasure,nomeasure,positive correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1016/j.fsi.2017.07.058,
14967975,5956,birgitte.lindeman,novel_insulin_resistance,insulin resistance,other,p-akt/akt,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,tributyltin_chloride,mouse,in vivo,yes,nomeasure,negative correlation,functional,other,doi: 10.1002/tox.22562,
14968928,7736,joost.boeckmans,novel_insulin_sensitization,insulin sensitization,novel,adiponectin (liver),liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,clozapine,mouse,in vivo,nomeasure,nomeasure,negative correlation,translational,translational study,https://doi.org/ 10.3390/ijms22136680,
14968155,6181,anouk.verhoeven,protein_kinase_changes_akt2,NA,akt2,NA,fatty_liver,NA,novel,lipid droplets (microvescular),pharmaceutical,fenofibrate,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,,more research needed
14969245,6181,anouk.verhoeven,novel_ir/igf1r_signaling_pathway,ir/igf1r signaling pathway,not defined,NA,steatosis,NA,triglyceride,NA,pharmaceutical,linsitinib,mouse,in vivo,nomeasure,nomeasure,negative correlation,functional,inhibitor/inducer study,10.3390/ijms21217815,inhibition of ir evokes ste (imapaires insulin signaling)atosis
14968126,6181,anouk.verhoeven,novel_jnk_pathway,jnk pathway,not defined,NA,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,food supplement,uric_acid,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1152/ajpendo.00518.2020,NA
14968126,6181,anouk.verhoeven,novel_jnk_pathway,jnk pathway,not defined,NA,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,food supplement,uric_acid,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study;knockout study,10.1152/ajpendo.00518.2020,NA
14968126,6181,anouk.verhoeven,novel_jnk_pathway,jnk pathway,not defined,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,uric_acid,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1152/ajpendo.00518.2020,tg accumulation is dose dependent
14968126,6181,anouk.verhoeven,novel_jnk_pathway,jnk pathway,not defined,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,uric_acid,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1152/ajpendo.00518.2020,NA
14968126,6181,anouk.verhoeven,novel_jnk_pathway,jnk pathway,not defined,NA,novel_ap_1_pathway,ap-1 pathway,not defined,NA,food supplement,uric_acid,human,in vitro,nomeasure,nomeasure,positive correlation,functional;transcriptional;translational,transcriptional study;translational study,10.1152/ajpendo.00518.2020,NA
14968761,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride;novel,ffa,er_stress,NA,novel,ate4;chop,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translationall study;inhibitor/inducer study,10.3390/cells10102730,NA
14968761,6181,anouk.verhoeven,novel_autophagy,NA,triglyceride;novel,ffa,er_stress,NA,novel,ate4;chop,alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,positive correlation,translational,translationall study;inhibitor/inducer study,10.3390/cells10102730,NA
14969218,5956,birgitte.lindeman,novel_lipid_sequestration,lipid sequestration,other,plin4,liver_triglyceride_accumulation,NA,other,number and volume of lipid droplets per cell,pharmaceutical,entinostat,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,other,doi: 10.1038/srep28025,entinostat and oleate vs entinostat alsone
14969218,5956,birgitte.lindeman,novel_lipid_sequestration,lipid sequestration,other,"cidec,,plin4",liver_triglyceride_accumulation,NA,other,number and volume of lipid droplets per cell,pharmaceutical,entinostat,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,other,doi: 10.1038/srep28025,entinostat
14969297,5829,anna.s.rapisarda,novel_lipolysis,lipolysis,other,cgi-58,liver_triglyceride_accumulation,NA,other,free fa,food supplement,palmitate,human,in vitro,yes,nomeasure,negative correlation,transcriptional,transcriptional study,10.1371/journal.pone.0243938,biomarker ke (down): ffas content in cell media
14969297,5829,anna.s.rapisarda,novel_lipolysis,lipolysis,other,cgi-58,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,palmitate,human,in vitro,yes,nomeasure,negative correlation,transcriptional,transcriptional study,10.1371/journal.pone.0243938,
14969297,5829,anna.s.rapisarda,novel_lipolysis,lipolysis,other,cgi-58,liver_triglyceride_accumulation,NA,other,free fa,food supplement,palmitate,human,in vitro,yes,nomeasure,negative correlation,translational,translational study,10.1371/journal.pone.0243938,biomarker ke (down): ffas content in cell media
14969297,5829,anna.s.rapisarda,novel_lipolysis,lipolysis,other,cgi-58,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,palmitate,human,in vitro,yes,nomeasure,negative correlation,translational,translational study,10.1371/journal.pone.0243938,
14969297,5829,anna.s.rapisarda,novel_lipolysis,lipolysis,other,atgl,liver_triglyceride_accumulation,NA,other,free fa,food supplement,palmitate,human,in vitro,yes,nomeasure,positive correlation,transcriptional,transcriptional study,10.1371/journal.pone.0243938,biomarker ke (down): ffas content in cell media
14969297,5829,anna.s.rapisarda,novel_lipolysis,lipolysis,other,atgl,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,palmitate,human,in vitro,yes,nomeasure,positive correlation,transcriptional,transcriptional study,10.1371/journal.pone.0243938,
14969297,5829,anna.s.rapisarda,novel_lipolysis,lipolysis,other,atgl,liver_triglyceride_accumulation,NA,other,free fa,food supplement,palmitate,human,in vitro,yes,nomeasure,positive correlation,translational,translational study,10.1371/journal.pone.0243938,biomarker ke (down): ffas content in cell media
14969297,5829,anna.s.rapisarda,novel_lipolysis,lipolysis,other,atgl,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,palmitate,human,in vitro,yes,nomeasure,positive correlation,translational,translational study,10.1371/journal.pone.0243938,
14968061,7544,alexandra.gatzios,novel_lipolysis,lipolysis,novel,pnpla2,nuclear_receptor_changes_ppara,NA,ppara,NA,pharmaceutical,doxorubicin,rat,in vivo,yes,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.ejphar.2018.11.018m,
14969532,6181,anouk.verhoeven,novel_lipophagy,lipophagy,novel,rab7,liver_triglyceride_accumulation,NA,not defined,NA,alcohol,ethanol,rat,in vitro,no,no,negative correlation,functional,inhibitor/inducer study,10.1002/hep4.1021,alcohol will trigger lipid accumulation (in form of lipid droplets) through inhibition of rab7 which will downregulate lipophagy leading to lipid accumulation
14968182,7075,graciela.lopezsoop,novel_lipophagy,lipophagy,other,"plin2, becn1, atg7",steatosis,NA,other,lipid droplets,pollutant,multi_walled_carbon_nanotubes,human,in vitro,yes,nomeasure,positive correlation,functional,transcriptional study;translational study,https://doi.org/10.1016/j.fct.2018.08.033,
14968089,6181,anouk.verhoeven,novel_lipoprotein_lipase_(lpl)_and_receptor_(ldlr),lipoprotein lipase (lpl) and receptor (ldlr),apob100;other,"apoa4b, mtp",liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,estradiol,fish,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.cbpb.2019.110335,lpl and ldl3 decreased dose dependently
14968640,7549,marth.stinckens,mitochondrial_beta_oxidation,NA,other,NAD+/NADH,mitochondrial_disruption,NA,other,decreased fatty acid oxidation,food supplement,tetradecylthiopropionic_acid_(ttp),mouse,in vivo,no,no,positive correlation,functional,other,10.1186/s12944-020-01271-1,no link with oxidative stress
14968640,7549,marth.stinckens,mitochondrial_beta_oxidation,NA,other,NAD+/NADH,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,tetradecylthiopropionic_acid_(ttp),mouse,in vivo,no,no,negative correlation,functional,other,10.1186/s12944-020-01271-1,no link with oxidative stress
14968742,6181,anouk.verhoeven,novel_lysosomal_biogenesis,lysosomal biogenesis,novel,tfeb,liver_triglyceride_accumulation,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,negative correlation,functional;transcriptional,knockout study,10.1053/j.gastro.2018.05.027,NA
14968742,6181,anouk.verhoeven,novel_lysosomal_biogenesis,lysosomal biogenesis,novel,tfeb,novel_autophagy,autophagy,not defined,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,knockout study,10.1053/j.gastro.2018.05.027,NA
14968625,7544,alexandra.gatzios,novel_methionine_cycle_disruption,methionine cycle disruption,not defined,sah,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,pharmaceutical,3_deazaadenosine,rat,in vitro,yes,nomeasure,negative correlation,transcriptional;translational,transcriptional study;translational study,10.3390/cells9061526,
14968625,7544,alexandra.gatzios,novel_methionine_cycle_disruption,methionine cycle disruption,not defined,sah,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,pharmaceutical,3_deazaadenosine,rat,in vitro,yes,nomeasure,negative correlation,transcriptional;translational,transcriptional study;translational study,10.3390/cells9061526,
14968625,7544,alexandra.gatzios,novel_methionine_cycle_disruption,methionine cycle disruption,not defined,sah,liver_triglyceride_accumulation,NA,novel,lipid droplets ,pharmaceutical,3_deazaadenosine,rat,in vitro,yes,yes,negative correlation,transcriptional;translational,transcriptional study;translational study,10.3390/cells9061526,
14968625,7544,alexandra.gatzios,novel_methionine_cycle_disruption,methionine cycle disruption,not defined,sah,novel_lipolysis,lipolysis,novel,pnpla3,pharmaceutical,3_deazaadenosine,rat,in vitro,yes,nomeasure,negative correlation,transcriptional,transcriptional study,10.3390/cells9061526,
14968625,7544,alexandra.gatzios,novel_methionine_cycle_disruption,methionine cycle disruption,not defined,sah,novel_lipolysis,lipolysis,novel,"pnpla2 (atgl), lipe (hsl)",pharmaceutical,3_deazaadenosine,rat,in vitro,yes,nomeasure,positive correlation,translational,translational study,10.3390/cells9061526,mrna revels are negatively correlated!
14968172,6181,anouk.verhoeven,novel_microbiota_dysbiosis,microbiota dysbiosis,not defined,NA,novel,NA,novel,"tnf-a, il-6, il-22",pollutant,phenanthrene,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,10.1016/j.envpol.2020.115738,microbiota related to inducing fatty liver
14968311,7075,graciela.lopezsoop,novel_mitophagy,mitophagy,other,"parkin, pink-1",liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,acetaminophen,mouse,in vivo,no,nomeasure,negative correlation,functional,other,https://doi.org/10.1016/j.ejphar.2021.174324,
14968068,7548,sara.sepehri,novel_mrna_expression,mrna expression,novel,stat5a,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,mono_2_ethylhexyl_phthalate,human,in vitro,nomeasure,nomeasure,negative correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/10.1016/j.ecoenv.2019.109611,NA
