Article.ID;User.ID;User.Name;KE..Up.;Novel.KE.Up.;KE.up..biomarker;Novel.other.biomarker.KE.up.;KE.Down.;Novel.KE.Down.;KE.down..biomarker;Novel.other.biomarker.KE.down.;Stressor.BA.BP.;chemical;Species.BA.BP.;Test.system.BA.BP.;Dose.concordance..EP.;Time.concordance..EP.;Correlation.KEs..BP.ES.;Evidence.level..EP.ES.BP.BA.;assay.method..EP.ES.BA.
14967899;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)', 'novel'];MPO;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional; translational";" other;transcriptional study"
14967899;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;['ALT', 'AST', 'ALP', 'GGT', 'total liver bile acids', 'bilirubin (total)', ' bile acids '];bile flow;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional; translational";" other;transcriptional study"
14967899;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;cholestasis;nan;['ALT', 'AST', 'ALP', 'GGT', 'total liver bile acids', 'bilirubin (total)', ' bile acids '];bile flow;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional; translational";" other;transcriptional study"
14967899;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MRP2(ABCC2);nan;cholestasis;nan;['ALT', 'AST', 'ALP', 'GGT', 'total liver bile acids', 'bilirubin (total)', ' bile acids '];bile flow;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional; translational";" other;transcriptional study"
14967885;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MRP2(ABCC2);nan;cholestasis;nan;['AST', 'GGT', 'ALT', 'bilirubin (total)', ' bile acids '];nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;True;NEGATIVE CORRELATION;"transcriptional;clinical";transcriptional study
14967885;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;['AST', 'GGT', 'ALT', 'bilirubin (total)', ' bile acids '];nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;True;NEGATIVE CORRELATION;"transcriptional;clinical";transcriptional study
14967852;6128;jian.jiang;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;['ALT', 'bilirubin (total)'];nan; food (supplement);oleanolic acid; mouse; in vitro;True;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional"; inhibitor/inducer study
14967852;6128;jian.jiang;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;cholestasis;nan;['ALT', 'bilirubin (total)'];nan; food (supplement);oleanolic acid; mouse; in vitro;True;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional"; inhibitor/inducer study
14967852;6128;jian.jiang;transporter changes;nan;OATP1a1;nan;cholestasis;nan;['ALT', 'bilirubin (total)'];nan; food (supplement);oleanolic acid; mouse; in vitro;True;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional"; inhibitor/inducer study
14967852;6128;jian.jiang;transporter changes;nan;OATP1B3;nan;cholestasis;nan;['ALT', 'bilirubin (total)'];nan; food (supplement);oleanolic acid; mouse; in vitro;True;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional"; inhibitor/inducer study
14967852;6128;jian.jiang;transporter changes;nan;BSEP(ABCB11);nan;oxidative stress;nan;['novel'];MT1A (MT1), Nrf2, Ho_1, Nqo1; food (supplement);oleanolic acid; mouse; in vitro;True;nomeasure;NEGATIVE CORRELATION;transcriptional; inhibitor/inducer study
14967852;6128;jian.jiang;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;oxidative stress;nan;['novel'];MT1A (MT1), Nrf2, Ho_1, Nqo1; food (supplement);oleanolic acid; mouse; in vitro;True;nomeasure;NEGATIVE CORRELATION;transcriptional; inhibitor/inducer study
14967852;6128;jian.jiang;transporter changes;nan;OATP1a1;nan;oxidative stress;nan;['novel'];MT1A (MT1), Nrf2, Ho_1, Nqo1; food (supplement);oleanolic acid; mouse; in vitro;True;nomeasure;NEGATIVE CORRELATION;transcriptional; inhibitor/inducer study
14967852;6128;jian.jiang;transporter changes;nan;OATP1B3;nan;oxidative stress;nan;['novel'];MT1A (MT1), Nrf2, Ho_1, Nqo1; food (supplement);oleanolic acid; mouse; in vitro;True;nomeasure;NEGATIVE CORRELATION;transcriptional; inhibitor/inducer study
14967845;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;['ALT', 'AST', ' bile acids ', 'bilirubin (total)'];nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; translational";"transcriptional study;  translational study"
14967845;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MRP2(ABCC2);nan;cholestasis;nan;['ALT', 'AST', ' bile acids ', 'bilirubin (total)'];nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; translational";"transcriptional study;  translational study"
14967834;6128;jian.jiang;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;cholestasis;nan;['ALP', 'plasma bile acids'];nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";"transcriptional study; inhibitor/inducer study"
14967834;6128;jian.jiang;transporter changes;nan;OATP1B1(SLCO1B1);nan;cholestasis;nan;['ALP', 'plasma bile acids'];nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";"transcriptional study; inhibitor/inducer study"
14967834;6128;jian.jiang;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;cholestasis;nan;['novel'];bile flow, bile acids output;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional";"transcriptional study; inhibitor/inducer study"
14967834;6128;jian.jiang;transporter changes;nan;OATP1B1(SLCO1B1);nan;cholestasis;nan;['novel'];bile flow, bile acids output;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional";"transcriptional study; inhibitor/inducer study"
14967834;6128;jian.jiang;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;['ALP', 'plasma bile acids'];nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional; translational";"transcriptional study; inhibitor/inducer study;  translational study"
14967834;6128;jian.jiang;transporter changes;nan; MRP2(ABCC2);nan;cholestasis;nan;['ALP', 'plasma bile acids'];nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional; translational";"transcriptional study; inhibitor/inducer study;  translational study"
14967834;6128;jian.jiang;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;['novel'];bile flow, bile acids output;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional; translational";"transcriptional study; inhibitor/inducer study;  translational study"
14967834;6128;jian.jiang;transporter changes;nan; MRP2(ABCC2);nan;cholestasis;nan;['novel'];bile flow, bile acids output;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional; translational";"transcriptional study; inhibitor/inducer study;  translational study"
14967832;6930;milos.mihajlovic;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)', 'plasma bile acids', ' bile acids '];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;clinical;  translational study
14967832;6930;milos.mihajlovic;transporter changes;nan; MRP2(ABCC2);nan;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)', 'plasma bile acids', ' bile acids '];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;clinical;  translational study
14967832;6930;milos.mihajlovic;transporter changes;nan; MRP3(ABCC3);nan;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)', 'plasma bile acids', ' bile acids '];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;clinical;  translational study
14967832;6930;milos.mihajlovic;transporter changes;nan;MRP4(ABCC4);nan;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)', 'plasma bile acids', ' bile acids '];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;clinical;  translational study
14967832;6930;milos.mihajlovic;transporter changes;nan;BSEP(ABCB11);nan;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;transcriptional;  translational study
14967832;6930;milos.mihajlovic;transporter changes;nan; MRP2(ABCC2);nan;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;transcriptional;  translational study
14967832;6930;milos.mihajlovic;transporter changes;nan; MRP3(ABCC3);nan;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;transcriptional;  translational study
14967832;6930;milos.mihajlovic;transporter changes;nan;MRP4(ABCC4);nan;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;transcriptional;  translational study
14967832;6930;milos.mihajlovic;transporter changes;nan; MRP2(ABCC2);nan;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)', 'plasma bile acids', ' bile acids '];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;clinical;  translational study
14967832;6930;milos.mihajlovic;transporter changes;nan; MRP3(ABCC3);nan;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)', 'plasma bile acids', ' bile acids '];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical;  translational study
14967831;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;inflammation;nan;['novel'];Egr_1,MT_1;pharmaceutical;atorvastatine; mouse;in vivo;True;nomeasure;NEGATIVE CORRELATION;transcriptional;transcriptional study
14967831;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;inflammation;nan;['novel'];Egr_1,MT_1;pharmaceutical;atorvastatine; mouse;in vivo;True;nomeasure;NEGATIVE CORRELATION;transcriptional;transcriptional study
14967831;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OSTa/b;nan;inflammation;nan;['novel'];Egr_1,MT_1;pharmaceutical;atorvastatine; mouse;in vivo;True;nomeasure;NEGATIVE CORRELATION;transcriptional;transcriptional study
14967831;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OSTa/b;nan;inflammation;nan;['novel'];Egr_1,MT_1;pharmaceutical;atorvastatine; mouse;in vivo;True;nomeasure;NEGATIVE CORRELATION;transcriptional;transcriptional study
14967810;6916;amy.maerten;transporter changes;nan;NTCP(LBAT/SLC10A1);bile flow, OATP1A2;cholestasis;nan;['ALT', 'AST', ' bile acids '];nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"clinical;transcriptional";" inhibitor/inducer study;transcriptional study"
14967810;6916;amy.maerten;transporter changes;nan; MRP2(ABCC2);bile flow, OATP1A2;cholestasis;nan;['ALT', 'AST', ' bile acids '];nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"clinical;transcriptional";" inhibitor/inducer study;transcriptional study"
14967810;6916;amy.maerten;transporter changes;nan;BSEP(ABCB11);bile flow, OATP1A2;cholestasis;nan;['ALT', 'AST', ' bile acids '];nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"clinical;transcriptional";" inhibitor/inducer study;transcriptional study"
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;MDR1(PGP/ABCB1);nan;ER stress/unfolded protein response;nan;['novel'];Hspb6,Hsph1,Hspe1,Sec61a1,Sec14l2,Sec14l4;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;ABCG5;nan;ER stress/unfolded protein response;nan;['novel'];Hspb6,Hsph1,Hspe1,Sec61a1,Sec14l2,Sec14l4;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MDR3(ABCB4);nan;ER stress/unfolded protein response;nan;['novel'];Hspb6,Hsph1,Hspe1,Sec61a1,Sec14l2,Sec14l4;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MRP2(ABCC2);nan;ER stress/unfolded protein response;nan;['novel'];Hspb6,Hsph1,Hspe1,Sec61a1,Sec14l2,Sec14l4;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;MDR1(PGP/ABCB1);nan;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;ABCG5;nan;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MDR3(ABCB4);nan;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MRP2(ABCC2);nan;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;MDR1(PGP/ABCB1);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;ABCG5;nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MDR3(ABCB4);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MRP2(ABCC2);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;MDR1(PGP/ABCB1);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;chlorpromazine; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;ABCG5;nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;chlorpromazine; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MDR3(ABCB4);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;chlorpromazine; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;chlorpromazine; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;chlorpromazine; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;chlorpromazine; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;glibenclamide; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;glibenclamide; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;chlorpromazine; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";" other;transcriptional study"
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;chlorpromazine; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";" other;transcriptional study"
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";" other;transcriptional study"
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";" other;transcriptional study"
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;glibenclamide; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";" other;transcriptional study"
14967800;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;glibenclamide; rat; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";" other;transcriptional study"
14967784;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;H3_TCA;apoptosis;nan;['novel'];caspase 3 activity;pharmaceutical;flucloxacillin;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;tacrolimus;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional";"transcriptional study; other"
14967784;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;H3_TCA;apoptosis;nan;['novel'];caspase 3 activity;pharmaceutical;cloxacillin;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967784;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;H3_TCA;apoptosis;nan;['novel'];caspase 3 activity;pharmaceutical;nafcillin;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967784;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;H3_TCA;apoptosis;nan;['novel'];caspase 3 activity;pharmaceutical;trovafloxacin;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967784;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;H3_TCA;apoptosis;nan;['novel'];caspase 3 activity;pharmaceutical;erythromycin;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967784;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;H3_TCA;apoptosis;nan;['novel'];caspase 3 activity;pharmaceutical;levofloxacin;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;chlorpromazine;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;chlorpromazine;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional";"transcriptional study; other"
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;CDFDA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MRP2(ABCC2);CDFDA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";"transcriptional study; other"
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;trovafloxacin;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";"transcriptional study; other"
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan; MDR3(ABCB4);nan; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;trovafloxacin;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION;"transcriptional; functional";"transcriptional study; other"
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;uptake transporters;3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;NTCP(LBAT/SLC10A1);3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;troglitazone;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);3H_TCA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;troglitazone;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
14967783;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;efflux transporters;CDFDA; intracellular bile acid accumulation;nan;[' bile acids '];nan;pharmaceutical;cyclosporineA;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; functional; other
